TAZ_O,year,Avg_own_payt,Avg_own_paytinf,Avg_val_dwel,Avg_val_dwelinf,Avg_rent,Avg_rentinf,Avg_HHinc,Avg_HHincinf,Med_HHincinf,Dwel,Sgl_det,Apt_5plus,Sgl_att,Owned,Rented
2089,2091,1056.15,1636.9268850000003,203810.1,315885.27399,866.55,1343.065845,67411.6,104481.23884000002,95335.8989,3995.0,2229.0,341.0,1416.0,3311.0,689.0
2089,2096,1113.6842105263158,1609.9418947368422,187665.42105263157,271289.1326736842,820.4736842105264,1186.0767578947368,80771.84210526316,116763.77494736842,94235.7728,4066.0,2362.0,321.0,1382.0,3418.0,645.0
2090,2001,1212.5625,1583.97039375,281418.125,367616.4966875,625.1875,816.68243125,118447.25,154727.642675,115542.235,871.0,599.0,1.0,264.0,819.0,56.0
2090,2006,1297.625,1530.5486875,383086.5,451850.52675,416.5625,491.33546875,121170.375,142920.4573125,112033.628,906.0,605.0,1.0,299.0,830.0,72.0
2090,2011,1415.0,1511.22,455728.375,486717.9045,508.9375,543.54525,132460.375,141467.68050000002,112348.26000000001,905.0,604.0,0.0,300.0,852.0,35.0
2090,2016,1663.5,1663.5,708045.0625,708045.0625,555.875,555.875,141794.5625,141794.5625,118211.0,913.0,626.0,0.0,292.0,850.0,63.0
2090,2086,728.0,1420.692,121621.11111111111,237343.59833333333,565.0,1102.5975,54097.77777777778,105571.81333333334,89165.9865,606.0,358.0,22.0,220.0,507.0,95.0
2090,2091,1226.1666666666667,1900.4357166666668,352298.1666666667,546026.9285166668,602.1666666666666,933.2981166666666,109900.33333333333,170334.52663333333,141264.0856,698.0,478.0,0.0,221.0,582.0,119.0
2090,2096,1388.3333333333333,2006.9746666666665,297316.3333333333,429800.49146666663,903.5,1306.0996,126003.66666666667,182150.90053333333,106537.8288,784.0,508.0,0.0,267.0,675.0,105.0
2091,2001,1057.25,1381.085675,223282.5,291673.92975,510.5,666.8661500000001,89325.0,116685.2475,94574.9769875,368.0,327.0,1.0,35.0,346.0,19.0
2091,2006,1227.6666666666667,1448.0328333333334,390059.8888888889,460075.6389444444,270.44444444444446,318.9892222222222,106015.88888888889,125045.74094444445,96921.874,362.0,329.0,0.0,36.0,347.0,8.0
2091,2011,1339.4444444444443,1430.5266666666666,447650.44444444444,478090.67466666666,437.6666666666667,467.42800000000005,120700.44444444444,128908.07466666667,107667.216,373.0,259.0,0.0,117.0,359.0,1.0
2091,2016,1616.4444444444443,1616.4444444444443,657353.5555555555,657353.5555555555,621.5555555555555,621.5555555555555,140729.66666666666,140729.66666666666,106927.0,371.0,259.0,0.0,112.0,342.0,27.0
2091,2086,604.0,1178.706,143713.38461538462,280456.6700769231,514.0,1003.071,53698.307692307695,104792.24746153847,83937.918,679.0,530.0,4.0,141.0,557.0,113.0
2091,2091,892.5555555555555,1383.3718555555556,244250.0,378563.075,698.8888888888889,1083.2078888888889,62926.333333333336,97529.52403333333,87180.3251,383.0,315.0,1.0,69.0,353.0,28.0
2091,2096,1055.0,1525.108,217082.8,313814.89567999996,688.9,995.87384,63333.3,91554.61848,96042.7728,369.0,330.0,1.0,42.0,346.0,20.0
2092,2001,1002.9166666666666,1310.1100416666666,207400.83333333334,270927.70858333335,455.1666666666667,594.5842166666667,80898.66666666667,105677.92826666667,95073.60258333333,210.0,199.0,0.0,12.0,192.0,17.0
2092,2006,1183.1666666666667,1395.5450833333334,370822.6666666667,437385.33533333335,410.8333333333333,484.5779166666666,95288.58333333333,112392.88404166666,90336.7255,193.0,187.0,0.0,3.0,165.0,27.0
2092,2011,1392.0833333333333,1486.745,436268.8333333333,465935.114,152.25,162.603,106614.83333333333,113864.642,105141.39600000001,224.0,194.0,0.0,23.0,169.0,2.0
2092,2016,1515.75,1515.75,609297.0833333334,609297.0833333334,192.83333333333334,192.83333333333334,122510.41666666667,122510.41666666667,99230.0,222.0,199.0,0.0,28.0,187.0,28.0
2092,2086,621.0,1211.8815,98289.22222222222,191811.41716666665,501.0,977.7015,38990.666666666664,76090.286,88730.802,296.0,278.0,0.0,19.0,273.0,23.0
2092,2091,589.4,913.51106,163956.6,254116.33434000003,508.6,788.2791400000001,41661.2,64570.69388,76837.84240000001,207.0,192.0,0.0,18.0,180.0,30.0
2092,2096,817.6,1181.92256,171929.6,248541.42976,600.0,867.36,49105.0,70986.188,93439.2472,213.0,196.0,0.0,24.0,185.0,21.0
2093,2001,1161.642857142857,1517.4540642857144,275506.35714285716,359893.95433571434,843.7142857142857,1102.1439714285714,104439.28571428571,136429.03892857142,109920.19972142858,213.0,201.0,0.0,12.0,190.0,22.0
